TABLE_NAME,COLUMN_NAME,DATA_TYPE,COLUMN_KEY
blog_posts,id,int,PRI
blog_posts,title,varchar,
blog_posts,slug,varchar,UNI
blog_posts,category,varchar,
blog_posts,excerpt,text,
blog_posts,content,longtext,
blog_posts,created_at,timestamp,
blog_posts,updated_at,timestamp,
bookings,id,int,PRI
bookings,tutor_id,int,MUL
bookings,student_id,int,MUL
bookings,lesson_id,int,
bookings,booking_date,datetime,
bookings,status,varchar,
bookings,created_at,timestamp,
bookings,payment,varchar,
bookings,topic,varchar,
chat_direct_messages,id,int,PRI
chat_direct_messages,sender_id,int,
chat_direct_messages,receiver_id,int,
chat_direct_messages,message_type,enum,
chat_direct_messages,content,longtext,
chat_direct_messages,created_at,timestamp,
chat_direct_messages,is_read,tinyint,
chat_groups,id,int,PRI
chat_groups,name,varchar,
chat_groups,type,varchar,
chat_groups,created_at,timestamp,
chat_group_members,id,int,PRI
chat_group_members,group_id,int,MUL
chat_group_members,user_id,int,
chat_group_members,joined_at,timestamp,
chat_group_messages,id,int,PRI
chat_group_messages,group_id,int,MUL
chat_group_messages,sender_id,int,
chat_group_messages,message_type,enum,
chat_group_messages,content,longtext,
chat_group_messages,created_at,timestamp,
lessons,id,int,PRI
lessons,name,varchar,
lessons,category,varchar,
lesson_notes,id,int,PRI
lesson_notes,title,varchar,
lesson_notes,slug,varchar,UNI
lesson_notes,lesson_id,int,MUL
lesson_notes,category,varchar,
lesson_notes,content,longtext,
lesson_notes,pdf_url,varchar,
lesson_notes,is_active,tinyint,
lesson_notes,created_at,timestamp,
lesson_notes,updated_at,timestamp,
messages,id,int,PRI
messages,user_id,int,MUL
messages,title,varchar,
messages,content,text,
messages,is_read,tinyint,
messages,created_at,timestamp,
reviews,id,int,PRI
reviews,tutor_id,int,MUL
reviews,student_id,int,MUL
reviews,rating,int,
reviews,comment,text,
reviews,created_at,timestamp,
site_settings,id,int,PRI
site_settings,setting_key,varchar,UNI
site_settings,setting_value,text,
site_settings,updated_at,timestamp,
site_visits,id,int,PRI
site_visits,ip_address,varchar,MUL
site_visits,visit_date,date,
site_visits,created_at,timestamp,
topics,id,int,PRI
topics,lesson_id,int,MUL
topics,name,varchar,
topics,price,decimal,
topics,fake_price,decimal,
tutors,id,int,PRI
tutors,user_id,int,MUL
tutors,bio,text,
tutors,rating,decimal,
tutors,review_count,int,
tutors,subjects,text,
tutors,iban,varchar,
tutors,account_name,varchar,
tutor_topics,id,int,PRI
tutor_topics,tutor_id,int,MUL
tutor_topics,topic_id,int,MUL
user_data,id,int,PRI
user_data,name,varchar,
user_data,surname,varchar,
user_data,email,varchar,UNI
user_data,gsm,varchar,
user_data,password,varchar,
user_data,role,varchar,
user_data,google_id,varchar,
user_data,is_verified,tinyint,
user_data,verification_token,varchar,
user_data,created_at,timestamp
